
Designator,Comment,Footprint,LCSC Part Number,JLCPCB Part (if diff),Quantity,Manufacturer,Manufacturer Part Number,Description,Value,Package,Supplier
U1,STM32L476RG,LQFP-64,C116578,,2,STMicroelectronics,STM32L476RGT6,ARM Cortex-M4 80MHz 1MB Flash 128KB SRAM,LQFP-64,JLCPCB
U2,INA333,SOT-23-8,C73822,,4,Texas Instruments,INA333AIDGKR,Zero-Drift Instrumentation Amplifier,SOT-23-8,JLCPCB
U3,OPA2333,SOT-23-8,C116598,,2,Texas Instruments,OPA2333AIDGKR,Dual Precision Op-Amp,SOT-23-8,JLCPCB
U4,AS3933,VFQFPN-16,C123456,,2,ams-OSRAM,AS3933-BQFT,3D Low Frequency Wake-up Receiver,VFQFPN-16,JLCPCB
U5,TPA2005D1,WSON-8,C125432,,2,Texas Instruments,TPA2005D1DGNR,1.4W Mono Class-D Audio Amp,WSON-8,JLCPCB
U6,TPS63001,VSON-10,C87654,,2,Texas Instruments,TPS63001DRCR,Buck-Boost Converter 3.3V Out,VSON-10,JLCPCB
U7,MCP73831,SOT-23-5,C132456,,2,Microchip,MCP73831T-2ACI/OT,Single Cell LiPo Charger IC,SOT-23-5,JLCPCB
Y1,8MHz,Crystal HC-49S,C12378,,1,Yangxing Tech,X49SM8MSD2SC,8MHz Crystal 20ppm,8MHz,HC-49S,JLCPCB
Y2,32.768kHz,Crystal FC-135,C34697,,1,Epson,Q13FC1350000400,32.768kHz Crystal,32.768kHz,FC-135,JLCPCB
J1,USB-C,USB-C SMD,C165948,,2,Changjiang Connectors,TYPE-C-31-M-12,USB Type-C Connector 16P,SMD,USB-C,JLCPCB
J2,JST-PH,JST-PH-2.0mm,C2905689,,4,JST Corporation,S2B-PH-SM4-TB,2.0mm Pitch Connector,JST-PH,JLCPCB
J3,Header 2.54mm,PinHeader 1x20,C110223,,2,BOOMELE,PinHeader 1x20,2.54mm Header 20P,2.54mm,Through-hole,JLCPCB
J4,Header 2.54mm,PinHeader 1x08,C110220,,2,BOOMELE,PinHeader 1x8,2.54mm Header 8P,2.54mm,Through-hole,JLCPCB
L1,10uH Inductor,0805,C182458,,4,Coilcraft,0805CS-100XGLC,10uH Shielded Inductor 10%,10uH,0805,JLCPCB
L2,4.7uH Power,CDRH4D28,C345678,,2,Sumida,CDRH4D28NP-4R7NC,4.7uH Power Inductor 2A,4.7uH,SMD,JLCPCB
R1-R10,10k Resistor,0805,C17414,,20,FOJAN,RC0805JR-0710KL,10k Ohm 5%,10k,0805,JLCPCB
R11-R20,100k Resistor,0805,C17470,,10,FOJAN,RC0805JR-07100KL,100k Ohm 5%,100k,0805,JLCPCB
R21-R30,1k Resistor,0805,C17513,,10,FOJAN,RC0805JR-071KL,1k Ohm 5%,1k,0805,JLCPCB
R31-R40,10M Resistor,0805,C158517,,8,FOJAN,RC0805JR-0710ML,10M Ohm High Impedance,10M,0805,JLCPCB
C1-C10,100nF Capacitor,0805,C49678,,20,FH (Guangdong Fenghua Advanced Tech),0805B104K500NT,100nF 50V X7R,100nF,0805,JLCPCB
C11-C15,10uF Capacitor,0805,C15850,,10,Samsung,CL21A106KOQNNNE,10uF 16V X5R,10uF,0805,JLCPCB
C16-C20,1uF Capacitor,0805,C28323,,10,YAGEO,CC0805KKX5R9BB105,1uF 50V X5R,1uF,0805,JLCPCB
C21-C24,10nF Capacitor,0805,C1712,,8,FH,0805B103K500CT,10nF 50V X7R,10nF,0805,JLCPCB
C25-C26,33uF Capacitor,1206,C122862,,4,Panasonic,EEEFK1V330P,33uF 35V Electrolytic,33uF,1206,JLCPCB
D1,LED Green,0805,C2297,,2,Changzhou Aiyi Electronic,17-21UYC/S530-A2/TR8,Green LED,Green,0805,JLCPCB
D2,Schottky Diode,SOD-123,C8598,,4,MCC,BAT54WS-7-F,Schottky Barrier Diode,SOD-123,JLCPCB
Q1,PMOS,SOT-23,C1503747,,2,TOREX,XC8102B11MR,P-Channel MOSFET PMOS,SOT-23,JLCPCB
CONN1-ELECTRODE,Electrode Header,PinHeader 1x04,C110222,,2,BOOMELE,PinHeader 1x4,2.54mm Header 4P,2.54mm,Through-hole,JLCPCB
