
Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,25.00,17.50,Top,0
U2.1,8.00,8.00,Top,0
U2.2,8.00,12.00,Top,0
U2.3,8.00,16.00,Top,0
U2.4,8.00,20.00,Top,0
U3.1,8.00,24.00,Top,0
U3.2,40.00,8.00,Top,0
U4.1,35.00,15.00,Top,0
U4.2,35.00,22.00,Top,0
U5.1,42.00,15.00,Top,0
U5.2,42.00,22.00,Top,0
U6.1,45.00,30.00,Top,0
U6.2,15.00,30.00,Top,0
U7.1,20.00,25.00,Top,0
U7.2,30.00,25.00,Top,0
Y1,25.00,12.00,Top,0
Y2,25.00,8.00,Top,0
J1.1,2.00,2.00,Top,180
J1.2,48.00,2.00,Top,180
J2.1,10.00,32.00,Top,270
J2.2,40.00,32.00,Top,270
J3.1,5.00,17.50,Top,90
J3.2,45.00,17.50,Top,90
J4.1,2.00,12.00,Top,90
J4.2,48.00,12.00,Top,90
L1.1,12.00,14.00,Top,0
L1.2,38.00,10.00,Top,0
L1.3,38.00,18.00,Top,0
L1.4,38.00,26.00,Top,0
L2.1,15.00,28.00,Top,0
L2.2,35.00,28.00,Top,0
R1,12.00,6.00,Top,0
R2,14.00,6.00,Top,0
R3,16.00,6.00,Top,0
R4,18.00,6.00,Top,0
R5,12.00,32.00,Top,0
R6,14.00,32.00,Top,0
R7,16.00,32.00,Top,0
R8,18.00,32.00,Top,0
R9,20.00,20.00,Top,0
R10,22.00,20.00,Top,0
C1,10.00,10.00,Top,0
C2,12.00,10.00,Top,0
C3,14.00,10.00,Top,0
C4,16.00,10.00,Top,0
C5,10.00,14.00,Top,0
C6,12.00,14.00,Top,0
C7,14.00,14.00,Top,0
C8,16.00,14.00,Top,0
C9,10.00,18.00,Top,0
C10,12.00,18.00,Top,0
D1,25.00,24.00,Top,0
D2,22.00,28.00,Top,0
CONN1.1,2.00,8.00,Top,90
CONN1.2,48.00,8.00,Top,90
