
Index,Quantity,Mouser Part Number,Manufacturer Part Number,Manufacturer,Description,Unit Price,Extended Price,Availability,Supplier Link
1,2,511-STM32L476RGT6,STM32L476RGT6,STMicroelectronics,Arm Cortex-M4 MCU 1MB Flash 128KB SRAM LQFP-64,$15.12,$30.24,In Stock,https://www.mouser.com/ProductDetail/STMicroelectronics/STM32L476RGT6
2,4,595-INA333AIDGKR,INA333AIDGKR,Texas Instruments,Zero-Drift Low-Power Inst Amp SOT-23-8,$2.85,$11.40,In Stock,https://www.mouser.com/ProductDetail/Texas-Instruments/INA333AIDGKR
3,2,595-OPA2333AIDGKR,OPA2333AIDGKR,Texas Instruments,Dual Precision Zero-Drift Op Amp SOT-23-8,$2.08,$4.16,In Stock,https://www.mouser.com/ProductDetail/Texas-Instruments/OPA2333AIDGKR
4,3,985-AS3933BQFT,AS3933-BQFT,ams-OSRAM,3D Low Frequency Wake-up Receiver QFN-16,$6.85,$20.55,In Stock,https://www.mouser.com/ProductDetail/ams-OSRAM/AS3933-BQFT
5,2,595-TPA2005D1DGNR,TPA2005D1DGNR,Texas Instruments,1.4W Mono Class-D Audio Amp WSON-8,$1.21,$2.42,In Stock,https://www.mouser.com/ProductDetail/Texas-Instruments/TPA2005D1DGNR
6,2,595-TPS63001DRCR,TPS63001DRCR,Texas Instruments,Buck-Boost Converter VSON-10,$3.41,$6.82,In Stock,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS63001DRCR
7,2,579-MCP73831T-2ACIOT,MCP73831T-2ACI/OT,Microchip,LiPo Charger IC SOT-23-5,$0.83,$1.66,In Stock,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-2ACI-OT
8,20,994-1008CS-100XGLC,1008CS-100XGLC,Coilcraft,10µH Shielded Inductor 1008,$1.18,$23.60,In Stock,https://www.mouser.com/ProductDetail/Coilcraft/1008CS-100XGLC
9,10,652-CDRH4D28NP-4R7NC,CDRH4D28NP-4R7NC,Sumida,4.7µH 2.1A Power Inductor CDRH4D28,$0.82,$8.20,In Stock,https://www.mouser.com/ProductDetail/Sumida/CDRH4D28NP-4R7NC
10,100,667-ERJ-6GEYJ103V,ERJ-6GEYJ103V,Panasonic,10k Ohm 5% 0805 SMD Resistor,$0.010,$1.00,In Stock,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ103V
11,100,667-ERJ-6GEYJ104V,ERJ-6GEYJ104V,Panasonic,100k Ohm 5% 0805 SMD Resistor,$0.010,$1.00,In Stock,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ104V
12,100,667-ERJ-6GEYJ102V,ERJ-6GEYJ102V,Panasonic,1k Ohm 5% 0805 SMD Resistor,$0.010,$1.00,In Stock,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ102V
13,20,667-ERJ-6GEYJ106V,ERJ-6GEYJ106V,Panasonic,10M Ohm 5% 0805 SMD Resistor,$0.015,$0.30,In Stock,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ106V
14,100,581-C0805C104K5R,C0805C104K5RACTU,KEMET,100nF 50V X7R 0805 MLCC,$0.025,$2.50,In Stock,https://www.mouser.com/ProductDetail/KEMET/C0805C104K5RACTU
15,50,581-C0805C106K8P,C0805C106K8PACTU,KEMET,10uF 16V X5R 0805 MLCC,$0.125,$6.25,In Stock,https://www.mouser.com/ProductDetail/KEMET/C0805C106K8PACTU
16,50,581-C0805C103K5R,C0805C103K5RACTU,KEMET,10nF 50V X7R 0805 MLCC,$0.024,$1.20,In Stock,https://www.mouser.com/ProductDetail/KEMET/C0805C103K5RACTU
17,20,80-C3216X7R1E106M,C3216X7R1E106K160AC,TDK,10uF 25V X7R 1206 MLCC,$0.35,$7.00,In Stock,https://www.mouser.com/ProductDetail/TDK/C3216X7R1E106K160AC
18,2,538-2171790001,2171790001,Molex,USB Type-C Receptacle 16 Pos,$0.84,$1.68,In Stock,https://www.mouser.com/ProductDetail/Molex/2171790001
19,4,200-S2BPHSM4TB,S2B-PH-SM4-TB,JST,2.0mm Pitch Header PH Series,$0.58,$2.32,In Stock,https://www.mouser.com/ProductDetail/JST-Sales-America/S2B-PH-SM4-TB
20,10,855M-61201021621,61201021621,Wurth Elektronik,2.54mm Pin Header 1x20,$0.27,$2.70,In Stock,https://www.mouser.com/ProductDetail/Wurth-Elektronik/61201021621
21,5,855M-61300811121,61300811121,Wurth Elektronik,2.54mm Pin Header 1x8,$0.14,$0.70,In Stock,https://www.mouser.com/ProductDetail/Wurth-Elektronik/61300811121
22,4,815-ABM3B-8-D2Y-T,ABM3B-8.000MHZ-D2Y-T,Abracon,8MHz 20ppm Crystal SMD,$0.94,$3.76,In Stock,https://www.mouser.com/ProductDetail/Abracon/ABM3B-8.000MHZ-D2Y-T
23,4,815-ABS7-32.768-T,ABS07-32.768KHZ-9-T,Abracon,32.768kHz Crystal FC-135,$0.44,$1.76,In Stock,https://www.mouser.com/ProductDetail/Abracon/ABS07-32.768KHZ-9-T
24,2,710-150080GS75000,150080GS75000,Wurth Elektronik,Green LED 0805 570nm 20mA,$0.14,$0.28,In Stock,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080GS75000
25,4,621-BAT54WS-7-F,BAT54WS-7-F,Diodes Incorporated,Schottky Diode SOD-323,$0.08,$0.32,In Stock,https://www.mouser.com/ProductDetail/Diodes-Incorporated/BAT54WS-7-F
26,10,611-TP4056-MODULE,TP4056-MODULE,Generic,TP4056 LiPo Charger Module USB-C,$1.10,$11.00,In Stock,https://www.mouser.com/ProductDetail/Generic/TP4056-MODULE
27,4,449-18650-MJ1,LG INR18650MJ1,LG Chem,18650 LiIon Battery 3500mAh 10A,$7.50,$30.00,In Stock,https://www.mouser.com/ProductDetail/LG-Chem/INR18650MJ1
28,2,712-BCE-1,Dayton Audio BCE-1,Dayton Audio,Bone Conduction Exciter 8 Ohm,$17.99,$35.98,In Stock,https://www.mouser.com/ProductDetail/Dayton-Audio/BCE-1
,,,,,SUBTOTAL,,$210.80,,,
,,,,,SHIPPING ESTIMATE,,$12.00,Asia Direct,,
,,,,,TOTAL ESTIMATE,,$222.80,,,
